tag	LP32_d14_CMP_1_DC	LP32_d14_CMP_1_E	LP32_d14_CMP_1_E2	LP32_d14_CMP_1_M	LP32_d14_CMP_2_DC	LP32_d14_CMP_2_E	LP32_d14_CMP_2_E2	LP32_d14_CMP_2_M	LP32_d14_CMP_3_DC	LP32_d14_CMP_3_E	LP32_d14_CMP_3_E2	LP32_d14_CMP_3_M	LP32_d14_CMP_4_DC	LP32_d14_CMP_4_E2	LP32_d14_CMP_4_M
3	0	0	0	0	0	0	0	0	0	161.8421943	103.5723809	0	0	0	0
4	0	0	0	0	0	0	0	0	0.147485325	0	0	0	0	0	0
5	0	0	0	0	4169.595351	11693.53549	21058.56431	730.0876301	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	56.30063524	830.562459	0	0	0
7	0	0	0	0	0	0	0	0	160.6194611	0	0	0	0	0	0
8	0	0	0	0	529.6345761	0	121.2687618	101.2261709	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	6842.030586	0	0
15	0	0	0	0	0	0	0	0	250.5711365	866.83197	2028.978369	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	539.7560339	9547.904207	31.06237075
17	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8724323	0
20	0	0	0	0	0	28.75285529	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	9444.807657	64.60947567
22	0	1068.83639	40.98958602	66.14434049	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.889033159
24	823.2469167	0	0	3.174955322	0	0	0	0	0	0	0	0	0	0	0
26	9168.921881	342.7193016	159.1855584	94433.06634	0	0	0	63.57627867	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	54.11860464	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	0	0	665.4390041	0	534.9889414
33	0	0	0	0	0	629.2244698	229.9488569	12.69893935	0	0	0	0	0	0	0
35	124.8673788	0	0	15.76150073	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	1492.133515	612.9298603	0	0	0	0
41	0	0	0	0	0.200437724	0	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	249.1995031	0	0	0	0	0	0
47	321.3950666	0	0	12.69591797	0	0	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	978.9765128	18752.73392	8623.276104	0	0	0	0
52	1015.666295	0	126.729906	5.136503909	0	0	0	0	0	0	0	0	0	0	0
53	78.88879898	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	0	562.9896237	40.13358378	0	0	0	0	0	0	0	0	0	0	0	0
57	3033.601967	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	190.9870544	1875.200061	477.2572773	109.2170888	0	0	0	0	0	0	0	0	0	0	0
59	589.8125165	1493.601869	972.6449472	0	0	0	0	0	0	0	0	0	0	0	0
60	773.8999297	340.644025	167.6280324	0	0	0	0	0	0	0	0	0	0	0	0
61	141.349188	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	1043.544084	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	178.429856	0	108.8301595	0	0	0	0	0	0	0	0	0	0	0	0
64	812.11531	2545.698204	347.6781455	29.75647715	0	0	0	0	0	0	0	0	0	0	0
65	245.5724766	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	818.6339895	2586.652372	875.0021014	41.27752295	0	0	0	0	0	0	0	0	0	0	0
67	963.1846065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	1511.893497	3168.181644	2378.248184	5.552775218	0	0	0	0	0	0	0	0	0	0	0
69	1240.201926	8322.119692	1097.211196	34.240649	0	0	0	0	0	0	0	0	0	0	0
70	4852.604209	1515.878547	358.7096354	0	0	0	0	0	0	0	0	0	0	0	0
71	13726.84195	11543.28598	31988.99416	61.60151562	0	0	0	0	0.216379383	0	0	0	0	0	0
72	2336.4775	801.7995942	1117.963188	8.943047354	0	0	0	0	0	0	0	0	0	0	0
73	426.8031222	0	55.98171766	0	0	0	0	0	0	0	0	0	0	0	0
74	1209.615293	4300.800245	1514.08168	0	0	0	0	0	0	0	0	0	0	0	0
75	645.1127643	369.2843742	88.24086419	0	2804.179473	3244.318965	1120.557154	59.40420507	0	0	0	0	0	0	0
76	122.1422463	0	0	8.700581384	0	0	0	0	824.9218642	0	0	114.7156395	0	0	0
77	225.0719633	2227.330857	194.8961234	25.34534427	0	0	0	0	0	0	0	0	0	0	0
78	233.4852688	1622.414519	159.2227493	6.220095078	0	0	0	0	0	0	0	0	0	0	0
79	5546.348656	9633.495424	6713.422069	117.238189	0	0	0	0	0	0	0	0	0	0	0
80	2072.964144	0	0	13.37572373	0	0	0	0	0	0	0	0	0	0	0
81	28537.61125	21363.57162	45049.5829	170.6671185	0	0	0	0	0	0	0	0	0	0	0
82	890.3379549	0	188.0250679	4.541423459	0	0	0	0	0	0	0	0	0	6.677159701	0
83	180.7535381	428.3646667	54.13966328	36.9200629	0	0	0	0	0	0	0	0	0	0	0
84	834.5575436	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	298.8104982	818.1261248	148.7751317	0	0	0	0	0	0	0	0	0	0	0	0
86	3938.332129	0	0	194.5632962	0	0	0	0	0	0	0	0	0	0	0
87	5390.158571	13050.4499	2670.824156	8.904663255	0	0	0	0	0	0	0	0	0	0	0
88	1057.496684	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	497.1144529	1654.92974	504.9267621	0	0	0	0	0	0	0	0	0	0	0	0
90	1141.494289	3517.126776	1928.370161	4326.343241	0	0	0	0	0	0	0	0	0	0	0
91	0	844.4155151	166.7445105	0	0	0	0	0	0	0	0	0	0	0	0
92	0	0	19.43021556	0	0	0	0	0	0	0	0	0	0	0	0
93	0	0	0.528204034	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	278.3547667	0	0	0	0	0	0	0	0	0	0	0	0
95	0	0	0	1.392991817	0	0	0	0	0	0	0	0	0	0	0
96	0	0	0	1.451969389	0	0	0	0	0	0	0	0	388.3255346	393.9943124	4219.541361
97	0	0	0	7.418838555	0	0	0	0	0	0	0	0	0	0	0
98	0	0	0	81.55850788	0	0	0	0	0	0	0	0	0	0	0
99	0	0	0	4.263075286	0	0	0	0	0	0	0	0	0	0	0
100	0	0	0	9.315479361	0	0	0	0	0	0	0	0	0	0	0
101	0	0	0	3.463912967	0	0	0	0	0	0	0	0	0	0	0
102	0	0	0	10.52903656	0	0	0	0	0	0	0	0	0	0	0
103	0	0	0	23.73000493	0	0	0	0	0	0	0	0	0	0	0
104	0	0	0	21.37668183	0	0	0	0	0	74.14835025	10.9349235	0	261.4423256	153.7781824	0
105	0	0	0	5.703809727	0	0	0	0	0	0	0	0	0	0	0
106	0	0	0	0	316.2252884	0	765.189483	0	0	0	0	0	0	0	0
107	0	0	0	0	497.6917363	0	0	0	0	0	0	0	0	0	0
108	0	0	0	0	21692.45184	7730.10284	12829.33461	1332.26964	0	0	0	0	0	0	0
109	0	0	0	0	3626.05713	5308.417064	6306.307894	1857.481584	0	0	0	0	0	0	0
110	0	0	0	0	7740.866562	0	0	0	0	0	0	0	0	0	0
111	0	0	0	0	399.799861	292.1130103	300.525575	31.26188507	0	0	0	0	0	0	5.156713113
112	0	0	0	0	3045.974071	3080.970748	1634.882111	404.9668506	0	0	0	0	0	0	0
113	0	0	0	0	884.197124	0	0	0	0	0	0	0	0	0	0
114	0	0	0	0	392.6947949	0	54.97214971	0	0	0	0	0	0	0	0
115	0	0	0	0	35.93162988	0	0	0	0	0	0	0	0	0	0
116	0	0	0	0	234.4259953	2498.160063	495.8658613	56.23560595	0	0	0	0	0	0	0
117	0	0	0	0	2697.087594	10827.14996	7192.189267	617.7528866	0	0	0	0	0	0	0
118	0	0	0	0	1384.006204	2028.607014	2361.583158	112.049688	0	0	0	0	0	0	0
119	0	0	0	0	1274.040677	0	0	0	0	0	0	0	0	0	0
120	0	0	0	0	3474.402842	13555.73285	23236.78164	608.7623606	0	0	0	0	0	0	0
121	0	0	0	0	3014.457639	7851.806339	5295.784765	282.2970209	0	0	0	0	0	0	1.66258476
122	0	0	0	0	7915.039611	0	0	180.4910055	0	0	0	0	0	48.68524424	0
123	0	0	0	0	2295.707233	0	0	0	0	0	0	0	0	0	0
124	0	0	0	0	126.0675918	648.8084104	97.69230747	26.97381359	0	0	0	0	0	0	0
125	0	0	0	0	895.3944351	0	0	1377.703762	0	0	0	0	0	0	0
126	0	0	0	0	3785.254067	2928.883682	878.6656587	15868.96936	0	0	0	0	0	0	0
127	0	0	0	0	3894.646585	4793.865566	4478.903433	1656.578668	0	0	0	0	0	0	0
128	0	0	0	0	294.8029252	0	0	0	0	0	0	0	0	0	0
129	0	0	0	0	556.537752	0	0	0	0	0	0	0	0	0	0
130	0	0	0	0	1273.789541	0	568.0224882	118.6693079	0	0	0	0	0	0	0
131	0	0	0	0	176.0216047	0	0	102.4611599	0	0	0	0	0	0	0
132	0	0	0	0	2320.363681	3809.868706	1905.305491	17061.25952	0	0	0	5.479463059	0	0	0
133	0	0	0	0	708.7768271	4167.640992	2112.429233	240.9339135	0	0	0	0	0	0	0
134	0	0	0	0	7458.046655	2090.127971	1081.908411	3540.57026	0	0	0	0	0	0	0
135	0	0	0	0	184.8864113	0	0	0	0	0	0	0	0	0	0
136	0	0	0	0	512.95734	1060.178849	305.9010468	0	0	0	0	0	0	0	0
137	0	0	0	0	211.0399989	0	0	0	0	0	0	0	0	0	0
138	0	0	0	0	1292.498705	0	0	74.46805323	0	0	0	0	0	0	0
139	0	0	0	0	673.2347206	0	0	0	0	0	0	0	0	0	0
140	0	0	0	0	217.0615267	0	0	0	0	0	0	0	0	105.7865106	0
141	0	0	0	0	4812.162313	3184.321033	2111.792804	358.5637061	0	0	0	0	0	0	0
142	0	0	0	0	116.1681044	0	0	0	0	0	0	0	0	0	0
143	0	0	0	0	0	2228.29244	1149.758465	124.0180844	0	0	0	0	0	0	0
144	0	0	0	0	0	882.6772741	376.8004751	52.77801861	0	0	0	0	0	0	0
145	0	0	0	0	0	0	28.50018247	0	0	0	0	0	0	0	0
146	0	0	0	0	0	0	68.99838277	0	0	0	0	0	0	0	0
147	0	0	0	0	0	0	83.63666561	0	0	0	0	0	0	0	0
148	0	0	0	0	0	0	41.56231223	0	0	0	0	0	0	0	0
149	0	0	0	0	0	0	342.6182386	0	0	0	0	0	0	0	0
150	0	0	0	0	0	0	35.67532374	24.42752649	0	0	0	0	0	0	0
151	0	0	0	0	0	0	11.43459556	0	0	0	0	0	0	0	0
152	0	0	0	0	0	0	1315.877397	434.5175329	0	0	0	0	0	0	0
153	0	0	0	0	0	0	0	30.78509692	0	0	0	0	0	0	0
154	0	0	0	0	0	0	0	28.8347575	0	0	0	0	0	0	0
155	0	0	0	0	0	0	0	37139.22694	0	0	0	0	0	0	0
156	0	0	0	0	0	0	0	13988.06308	0	0	0	0	659.1779946	0	0
157	0	0	0	0	0	0	0	142.9463274	0	0	0	0	0	0	0
158	0	0	0	0	0	0	0	133.2064697	0	0	0	0	0	0	0
159	0	0	0	0	0	0	0	29.97047796	0	0	0	0	0	0	0
160	0	0	0	0	0	0	0	26.86654001	0	0	0	0	0	0	0
161	0	0	0	0	0	0	0	284.8617605	0	0	0	0	0	0	0
162	0	0	0	0	0	0	0	0	419.6288648	336.2870939	191.9510657	0	0	0	0
163	0	0	0	0	0	0	0	0	544.916519	0	0	143.7220113	0	0	0
164	0	0	0	0	0	0	0	0	892.0292778	0	0	0	0	0	0
165	0	0	0	0	0	0	0	0	2209.894521	0	0	0	0	0	78.20592908
166	0	0	0	0	0	0	0	0	597.9171546	6531.208004	3385.051294	0	0	0	0
167	0	0	0	0	0	0	0	0	321.3906281	0	0	0	0	0	0
168	0	0	0	0	0	0	0	0	316.9961136	0	0	186.4402729	0	0	0
169	0	0	0	0	0	0	0	0	1181.600377	1734.295064	1639.521749	17049.83704	0	0	0
170	0	0	0	0	0	0	0	0	1696.467338	698.0560803	2064.185304	259.9602257	0	0	0
171	0	0	0	0	0	0	0	0	626.2674992	4765.283819	3627.349145	0	0	0	0
172	0	0	0	0	0	0	0	0	879.4006936	2134.187729	2645.502837	0	0	0	0
173	0	0	0	0	0	0	0	0	720.3143616	199.2217963	338.1909036	35926.14909	0	0	0
174	0	0	0	0	0	0	0	0	5553.236576	0	0	23231.26319	0	0	0
175	0	0	0	0	0	0	0	0	346.8178458	154.2978404	1098.714575	0	0	0	0
176	0	0	0	0	0	0	0	0	334.5436303	0	0	0	0	0	0
177	0	0	0	0	0	0	0	0	5077.601948	10763.80934	15879.27293	118.8351269	0	8.852558638	0
178	0	0	0	0	0	0	0	0	3860.745083	4140.904402	3721.356274	45.09822453	0	0	0
179	0	0	0	0	0	0	0	0	59.33717788	158.9933634	217.3323584	0	0	0	0
180	0	0	0	0	0	0	0	0	727.5438945	167.6137279	419.2943985	859.8558012	0	0	0
181	0	0	0	0	0	0	0	0	738.5320157	2815.704374	1702.920831	0	0	0	0
182	0	0	0	0	0	0	0	0	35559.29817	1186.786332	523.0670726	12035.41185	0	0	0
183	0	0	0	0	0	0	0	0	417.9248042	0	0	93.79325273	0	0	0
184	0	0	0	0	0	0	0	0	0.30466786	0	0.672631547	0	0	0	0
185	0	0	0	0	0	0	0	0	3023.803447	2613.614937	6467.749433	88.61798855	0	0	0
186	0	0	0	0	0	0	0	0	20533.32176	0	0	3595.547235	0	0	0
187	0	0	0	0	0	0	0	0	7569.276146	20461.93672	32833.47267	0	0	3.521144075	0
188	0	0	0	0	0	0	0	0	0	22.86471449	81.38645471	0	0	0	0
189	0	0	0	0	0	0	0	0	0	1925.351811	3658.851837	0	0	0	0
190	0	0	0	0	0	0	0	0	0	25.96975702	49.47030885	0	0	0	0
191	0	0	0	0	0	0	0	0	0	1576.959718	934.6908433	807.3502263	0	0	112.2926278
192	0	0	0	0	0	0	0	0	0	10383.7819	3107.25838	0	0	0	0
193	0	0	0	0	0	0	0	0	0	375.7427988	158.3137224	0	0	0	0
194	0	0	0	0	0	0	0	0	0	3008.680707	1156.99692	0	0	0	0
195	0	0	0	0	0	0	0	0	0	567.9060591	1188.752022	0	0	0	0
196	0	0	0	0	0	0	0	0	0	1380.429167	1372.896686	0	0	0	0
197	0	0	0	0	0	0	0	0	0	147.9770453	42.57117463	0	0	0	0
198	0	0	0	0	0	0	0	0	0	0	11.1283482	79.26078042	0	0	0
199	0	0	0	0	0	0	0	0	0	0	5.542096308	0	190.7590166	289.9253515	0
200	0	0	0	0	0	0	0	0	0	0	0.336806391	0	6337.764456	349.5689196	78823.34751
201	0	0	0	0	0	0	0	0	0	0	10.93982968	0	0	0	0
202	0	0	0	0	0	0	0	0	0	0	14.64666246	0	0	495.7830266	0
203	0	0	0	0	0	0	0	0	0	0	0	518.6488091	0	0	0
204	0	0	0	0	0	0	0	0	0	0	0	154.202714	0	0	0
205	0	0	0	0	0	0	0	0	0	0	0	288.0727875	0	0	0
206	0	0	0	0	0	0	0	0	0	0	0	195.6043309	0	0	0
207	0	0	0	0	0	0	0	0	0	0	0	52.41855126	0	3.156015626	0
208	0	0	0	0	0	0	0	0	0	0	0	234.5467512	0	0	0
209	0	0	0	0	0	0	0	0	0	0	0	583.2206147	0	0	0
210	0	0	0	0	0	0	0	0	0	0	0	246.6009694	0	0	0
211	0	0	0	0	0	0	0	0	0	0	0	5.966334762	0	39.83366598	0
212	0	0	0	0	0	0	0	0	0	0	0	54.08247739	0	0	0
213	0	0	0	0	0	0	0	0	0	0	0	481.9110627	0	0	0
214	0	0	0	0	0	0	0	0	0	0	0	44.55386395	0	0	0
215	0	0	0	0	0	0	0	0	0	0	0	0	366.3883584	0	0
216	0	0	0	0	0	0	0	0	0	0	0	0	587.1606495	0	16.01613042
217	0	0	0	0	0	0	0	0	0	0	0	0	2055.120081	0	214.3521329
218	0	0	0	0	0	0	0	0	0	0	0	0	612.4861786	0	0
219	0	0	0	0	0	0	0	0	0	0	0	0	301.6095552	0	0
220	0	0	0	0	0	0	0	0	0	0	0	0	2836.723351	422.7836687	3131.413452
221	0	0	0	0	0	0	0	0	0	0	0	0	410.6804971	0	0
222	0	0	0	0	0	0	0	0	0	0	0	0	7136.290819	0	0
223	0	0	0	0	0	0	0	0	0	0	0	0	855.2330535	0	1348.602695
224	0	0	0	0	0	0	0	0	0	0	0	0	156.0932635	37.38683969	0
225	0	0	0	0	0	0	0	0	0	0	0	0	467.4406292	526.0474746	0
226	0	0	0	0	0	0	0	0	0	0	0	0	2487.160075	0	0
227	0	0	0	0	0	0	0	0	0	0	0	0	787.7168234	0	18.41321045
228	0	0	0	0	0	0	0	0	0	0	0	0	235.2027558	102.1558035	17.06695961
229	0	0	0	0	0	0	0	0	0	0	0	0	340.281414	840.8653122	13.81968947
230	0	0	0	0	0	0	0	0	0	0	0	0	489.1409375	261.2118737	285.0126806
231	0	0	0	0	0	0	0	0	0	0	0	0	151.848069	1163.239451	2.050408888
232	0	0	0	0	0	0	0	0	0	0	0	0	621.5971547	0	38.67180802
233	0	0	0	0	0	0	0	0	0	0	0	0	313.1400981	0	0
234	0	0	0	0	0	0	0	0	0	0	0	0	151.5098703	55035.41783	8632.845698
235	0	0	0	0	0	0	0	0	0	0	0	0	135.5570565	0	0
236	0	0	0	0	0	0	0	0	0	0	0	0	231.4790793	60.36561956	0
237	0	0	0	0	0	0	0	0	0	0	0	0	376.4981362	14.58529588	0
238	0	0	0	0	0	0	0	0	0	0	0	0	415.1459853	82.84343477	0
239	0	0	0	0	0	0	0	0	0	0	0	0	178.0803744	0	57.64014056
240	0	0	0	0	0	0	0	0	0	0	0	0	2073.854854	0	27.70380043
241	0	0	0	0	0	0	0	0	0	0	0	0	444.9291092	5.477416925	698.3921198
242	0	0	0	0	0	0	0	0	0	0	0	0	2787.205332	5121.414557	13.46761045
243	0	0	0	0	0	0	0	0	0	0	0	0	64.57666381	0	20.09603596
244	0	0	0	0	0	0	0	0	0	0	0	0	387.8731999	0	0
245	0	0	0	0	0	0	0	0	0	0	0	0	170.8215347	0	5.501369733
246	0	0	0	0	0	0	0	0	0	0	0	0	44642.88431	0	61.53824504
